n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,68.0,83.3651697124,83.5671247828,84.1049486311,83.6980073587,82.8845690318
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,68.0,83.8189176164,83.1239726034,83.922376423,83.3369483249,83.9525020703
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,68.0,83.5247132267,83.5734700947,82.9146391239,83.6213782032,83.4716712986
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,68.0,82.9495324592,82.7379235527,83.2582811206,83.2905983893,83.4058432396
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,68.0,82.1949613845,82.3056016725,82.993502439,82.8603851832,83.1049342512
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,68.0,82.2245236046,82.4011927795,82.4335526984,83.055973487,82.4430675377
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,68.0,83.1792822373,82.1518919934,81.7089269135,81.9254717922,81.5054443725
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,70.0,89.235160199,88.374003888,88.4864508054,88.7508518457,88.8525954023
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,70.0,88.4286337419,88.4040125884,88.7757661124,88.4971617261,88.6621267718
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,70.0,88.168054471,88.6542524957,88.4862711221,87.9945751593,88.8710482386
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,70.0,88.091831598,88.4464801631,87.8486957952,87.8690669506,88.016024215
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,70.0,88.4005985291,87.8927676362,87.9186714745,88.0629894995,88.4059439769
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,70.0,87.7044841496,87.4545601029,87.8285700502,87.5583041158,87.7842207866
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,70.0,88.1204317719,87.6688627063,88.1172513629,87.170980264,87.6743512795
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,70.0,87.3169435441,87.5104520659,87.3232239086,87.3361449894,87.4644214942
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,70.0,87.3084074776,87.2989035435,87.0268302946,86.861758399,87.0594044638
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,285.0,100.0,70.0,87.7655271463,86.5288565062,86.7702852514,86.4828100561,87.4263737349
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,290.0,100.0,70.0,87.0667004028,86.1768649827,86.754414883,86.7959720566,87.6187285744
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,240.0,100.0,72.0,91.6494283178,92.1367819466,91.4543514971,91.7717638505,91.6666727659
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,245.0,100.0,72.0,91.6826232115,91.6849742664,91.266415214,91.8308600378,91.2014152745
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,250.0,100.0,72.0,91.5028692421,91.2602539264,91.361594193,91.7749773095,91.6517581539
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,255.0,100.0,72.0,91.6214766286,91.1529255817,90.9186189637,91.6709805199,91.4923433794
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,260.0,100.0,72.0,91.1115077385,91.1281094617,91.0206889519,91.3148132268,91.1606639731
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,265.0,100.0,72.0,90.7582600491,91.0322441431,90.9841691352,91.3961320285,90.918749713
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,270.0,100.0,72.0,90.7545719628,90.630961241,90.8067344829,90.4869274323,91.2179266944
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,275.0,100.0,72.0,90.652829014,90.1906860914,90.3623180146,90.6326570109,91.0609621476
500.0,5.0,3.0,0.5,3.0,-4.0,0.5,0.0,280.0,100.0,72.0,89.9968473549,90.4817477951,90.5511804119,90.1862737295,90.1248042545
