n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,70.0,38.4765253936,39.8889073953,38.0196939858,37.5986328701,39.6009988461
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,70.0,38.0596400445,38.4431348267,38.1850291336,40.2610807752,36.4657512359
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,72.0,48.4107591922,48.4429439765,48.1424245661,47.9302642906,47.6641055816
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,72.0,46.0129147189,46.482955426,46.103405594,45.7013688276,48.6957241713
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,72.0,46.8992283046,45.7215450214,45.9439397025,46.9258999693,46.2732271918
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,72.0,47.3821103728,47.0123964382,44.8238545091,44.5718145799,45.464234996
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,72.0,44.3176702658,44.6719368981,45.1166949358,44.253240529,44.5110836401
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,74.0,55.6205626405,54.6164585935,55.0217194076,53.9192962908,54.1301796416
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,74.0,53.6150627005,52.5280448481,52.6873212671,52.8147592322,53.8697517354
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,74.0,54.3796855703,53.7203485511,51.9069461735,49.8526462698,52.7454643508
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,74.0,52.8190424435,50.8716476359,51.7159409974,50.9331846494,50.2248694207
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,74.0,49.2625706106,51.4246299702,51.5876887419,52.9082863909,52.8768453055
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,76.0,59.1866970282,59.1306523219,58.5671895479,57.8465331122,63.7605218057
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,76.0,60.9466639601,59.5922860161,59.6598679799,60.1537461732,59.3980913116
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,76.0,57.4759975751,60.0890162032,59.4506722443,60.3035759212,59.0129507089
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,76.0,56.6108972893,57.6869878186,57.1238830553,55.9266031273,59.1517915455
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,76.0,58.4970477659,56.9734797013,56.8974761638,58.3726113347,59.3934548081
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,78.0,65.2698457829,65.7549103534,67.9848456443,67.7763621035,65.4034894885
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,78.0,67.6762783878,67.8591346886,67.3714613195,66.0694747575,65.0859102668
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,78.0,64.7302036678,62.6411818899,65.8641076966,63.2747210911,64.3921801758
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,78.0,64.9887325295,65.361993266,65.2437375764,64.7614530194,62.8565522106
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,78.0,61.4765240868,61.1887670099,62.9623474974,61.9061255104,62.6259649533
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,80.0,72.1832664155,71.1248852928,72.365297909,71.7697214388,69.7177737738
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,450.0,100.0,80.0,72.2036369259,69.6788728336,70.6172266938,70.1167163524,70.6762910534
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,460.0,100.0,80.0,70.2644599114,71.4662763453,69.8323696423,68.9358763926,67.7996020351
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,470.0,100.0,80.0,68.967013702,69.6913313892,69.5353257216,70.2826330921,70.4057531701
80.0,5.0,2.0,0.2,2.0,-1.5,0.6,0.5,480.0,100.0,80.0,69.0382238167,68.9434349597,69.1856089242,68.8640149659,70.0714026061
80.0,5.0,3.0,0.2,2.0,-1.5,0.6,0.5,440.0,100.0,70.0,81.2081626522,82.0525961289,81.5620228814,80.7718785289,80.7175062356
