n,k,ab,ab_sd,d,d_shift,d_sd,d_trend,n0,max_d,d_interest,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,66.0,71.9649866085,72.1851276805,72.0007160674,72.3420666323,70.8476435864,71.6588766138,72.1144124076,72.3345418206,71.979656655,71.4832736631
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,66.0,70.9433294375,70.9718056665,71.2546635558,71.8839552726,70.8215085796,70.0103088592,70.5339879705,71.2556678344,70.273098132,71.9260729992
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,66.0,70.0322264069,69.4721733625,70.0849973543,69.4723619892,69.2095423438,69.7247786324,70.4879089119,71.0685395238,69.5637333248,69.8046742541
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,66.0,68.4307440937,69.7378332203,69.8932210455,69.667328383,69.4969062935,69.2860866979,69.1275499531,69.6988743721,70.0394923446,69.4743865876
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,66.0,68.9475473076,68.6785471584,68.6674262218,68.7764180578,69.5384192842,68.5257629408,67.5786159109,68.2705235463,69.4800609239,68.9403252804
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,66.0,67.4013018465,68.8065114859,68.3849263828,68.0597720713,68.2486794089,67.2199691031,67.6747738674,68.1900021788,67.9703042611,68.9875949329
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,68.0,75.7120967755,75.9453289383,75.705560752,76.6416306417,76.6397852296,76.6810822633,76.0423687102,76.2449421023,76.5658102903,76.3150439692
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,68.0,75.4334438051,76.0907581448,76.1170532426,75.9177933919,75.0634505617,76.0324475857,75.2544477688,75.0134160396,75.3759079087,75.9055907811
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,68.0,74.3570725902,74.902359044,74.7701789719,75.1745357036,75.0385268254,75.1867434921,74.9763791672,75.3690206217,74.6747192061,74.2297387792
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,68.0,74.9971606501,74.3752146955,73.6319688743,74.0833919502,74.0560931168,74.5655014065,74.6225172362,74.2065942289,74.100243302,73.6382093809
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,68.0,73.6643088931,73.369353965,73.6240473699,74.2521652649,73.5979491134,73.357305545,73.4040510633,73.7609828548,73.5678193206,73.4196926487
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,68.0,72.8989631311,73.1215383663,72.4403825505,72.954294724,72.4341857322,72.3329493125,72.7285021784,72.719733225,73.7420054824,72.8304915049
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,68.0,72.1826552433,71.9722700835,71.7086973576,72.2916836134,71.2550220389,72.5620681283,72.0023327046,72.5834981518,72.3287665627,72.2861345388
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,70.0,79.5070801252,79.8019277441,79.1333858868,78.5580034956,79.5872292316,79.6843771978,79.2830363807,79.6095769361,79.0430595004,79.7211105232
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,150.0,100.0,70.0,79.0551527859,79.434121306,79.1465019893,79.413395976,79.3410382808,78.9364867763,79.2733694839,78.8935206453,79.0091499636,79.6748963073
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,155.0,100.0,70.0,78.0797359245,78.3198308014,78.544611798,78.541537538,77.9124922652,78.2889364573,78.7324398828,78.0727038489,78.9660360309,77.8909275662
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,160.0,100.0,70.0,78.3711728204,78.4225377326,77.8080477862,78.7429967745,78.1010475623,78.1788255844,78.2247104722,77.8480126036,77.9235188373,77.0044303784
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,165.0,100.0,70.0,77.0763426925,77.4069056832,76.9378831277,76.6903145009,77.5751446299,77.0744451668,76.8959740944,77.2315213649,77.1904147423,77.7919832663
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,170.0,100.0,70.0,77.5447522662,77.0543187981,77.4047369738,77.4081634341,77.0581609883,76.7202702778,76.8337143556,75.710935626,77.1168121532,76.4917944672
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,175.0,100.0,70.0,76.7539640566,76.236216236,76.1456220817,76.3359984613,75.9959237439,76.9410705982,76.3913041436,75.8590685883,76.4441996706,75.9301176986
1000.0,10.0,3.0,0.5,2.0,-4.0,0.5,0.0,145.0,100.0,72.0,82.5621036614,82.6612893862,82.5345027808,82.5157498302,82.9919885227,82.7309161019,81.9477816071,82.0543707559,82.1752863973,82.7080579237
