n,k,alpha/beta,alpha/beta SD,d,d_shift,d_sd,n0,max_d,dose_of_interest,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCPs,TCP_mean,TCP_sd
100,20,2.5,2,2,-5,0,200,100,80,85.52853489,89.61076117,89.61076117,89.38899968,89.38899968,88.51056082,88.51056082,88.26969414,88.26969414,87.14417342,87.14417342,88.87886879,88.87886879,88.12404067,88.12404067,90.30241049,90.30241049,91.27214574,91.27214574,88.78603933,88.78603933,90.38795117,90.38795117,87.74827909,87.74827909,90.17909931,90.17909931,89.30043881,89.30043881,89.04193932,89.04193932,85.28983495,85.28983495,89.10086253,89.10086253,90.03854471,90.03854471,87.66785073,87.66785073,91.27818525,88.87229275,1.454761798
100,20,3,2,2,-5,0,200,100,64,91.27818525,86.04199053,86.04199053,80.90367218,80.90367218,85.59999229,85.59999229,80.31650978,80.31650978,80.90329899,80.90329899,78.80506463,78.80506463,83.62730245,83.62730245,86.51281017,86.51281017,86.2520748,86.2520748,78.29556517,78.29556517,83.93663545,83.93663545,86.6377816,86.6377816,81.63188209,81.63188209,83.38650361,83.38650361,78.84172352,78.84172352,83.71193642,83.71193642,84.08049677,84.08049677,81.8157442,81.8157442,85.63299843,85.63299843,86.23192005,83.28445179,2.969387425
100,20,3,2,2,-5,0,200,100,66,86.23192005,81.87826028,81.87826028,87.94590667,87.94590667,88.21934831,88.21934831,86.77192938,86.77192938,84.08490956,84.08490956,86.96808565,86.96808565,85.85495083,85.85495083,85.49240317,85.49240317,85.9593267,85.9593267,85.89676958,85.89676958,86.36519708,86.36519708,84.73129681,84.73129681,86.2715957,86.2715957,81.83044776,81.83044776,85.64541227,85.64541227,87.99837299,87.99837299,85.48302227,85.48302227,86.67482519,86.67482519,83.91274391,83.91274391,84.13038985,85.65829795,1.718026111
100,20,3,2,2,-5,0,200,100,68,84.13038985,86.98904828,86.98904828,87.36928521,87.36928521,87.67958416,87.67958416,87.24578732,87.24578732,86.82922847,86.82922847,89.52755214,89.52755214,84.72800183,84.72800183,88.1765419,88.1765419,88.76651198,88.76651198,85.07169841,85.07169841,88.58618262,88.58618262,86.41984087,86.41984087,87.62684392,87.62684392,85.12045245,85.12045245,87.16253185,87.16253185,84.78955278,84.78955278,86.24706456,86.24706456,87.3261109,87.3261109,84.45092457,84.45092457,86.41332691,86.76923013,1.458554404
100,20,3,2,2,-5,0,200,100,70,86.41332691,85.23991629,85.23991629,88.05543154,88.05543154,89.30801256,89.30801256,87.35324984,87.35324984,89.55910174,89.55910174,86.17974749,86.17974749,91.93911047,91.93911047,87.93152718,87.93152718,87.81166508,87.81166508,84.23197112,84.23197112,88.9611114,88.9611114,89.06226583,89.06226583,88.3390661,88.3390661,87.07352659,87.07352659,87.49752609,87.49752609,87.30888164,87.30888164,89.52651077,89.52651077,86.51242838,86.51242838,86.70392177,86.70392177,89.62722645,87.83076243,1.69170932
100,20,3,2,2,-5,0,200,100,72,89.62722645,91.04881029,91.04881029,92.05652878,92.05652878,90.39262054,90.39262054,90.18778825,90.18778825,89.61085546,89.61085546,91.28412329,91.28412329,91.15807451,91.15807451,90.90290513,90.90290513,91.77171039,91.77171039,92.55108352,92.55108352,90.63892367,90.63892367,92.13192373,92.13192373,91.97860756,91.97860756,89.75707884,89.75707884,91.36756095,91.36756095,92.00789441,92.00789441,89.03580019,89.03580019,88.82465577,88.82465577,90.56262535,90.56262535,89.88689657,90.85133161,1.052611196
100,20,3,2,2,-5,0,200,100,74,89.88689657,92.57770809,92.57770809,92.27525956,92.27525956,94.54083699,94.54083699,89.48505509,89.48505509,92.7824313,92.7824313,93.27104766,93.27104766,92.18204903,92.18204903,90.16804573,90.16804573,90.73518713,90.73518713,92.30584636,92.30584636,92.81047932,92.81047932,89.26837715,89.26837715,91.00902552,91.00902552,93.87033277,93.87033277,92.11772134,92.11772134,94.17319402,94.17319402,89.46620734,89.46620734,94.16523088,94.16523088,88.01556889,88.01556889,92.8662624,91.82980918,1.828230631
100,20,3,2,2,-5,0,200,100,76,92.8662624,91.83784952,91.83784952,94.80795794,94.80795794,91.76144437,91.76144437,92.1848733,92.1848733,93.23268959,93.23268959,91.62184851,91.62184851,92.75470742,92.75470742,93.75895177,93.75895177,93.00094186,93.00094186,91.54526709,91.54526709,93.47823881,93.47823881,91.93667351,91.93667351,92.20843885,92.20843885,92.36999417,92.36999417,91.2920753,91.2920753,92.54500453,92.54500453,92.46029596,92.46029596,93.24721517,93.24721517,91.36065138,91.36065138,91.79475059,92.48678128,0.881412341
100,20,3,2,2,-5,0,200,100,78,91.79475059,91.63967693,91.63967693,95.10999645,95.10999645,95.14589781,95.14589781,92.34691473,92.34691473,94.80867896,94.80867896,91.61076088,91.61076088,95.19777492,95.19777492,93.48581229,93.48581229,92.93175993,92.93175993,91.33485234,91.33485234,93.24219423,93.24219423,92.68372854,92.68372854,94.31038363,94.31038363,93.37820275,93.37820275,95.25396123,95.25396123,94.02469276,94.02469276,93.66793324,93.66793324,94.17277478,94.17277478,94.86013495,94.86013495,93.55438012,93.59403484,1.25761887
100,20,3,2,2,-5,0,200,100,80,93.55438012,93.96828606,93.96828606,95.92815049,95.92815049,94.25624813,94.25624813,93.89740712,93.89740712,94.03487447,94.03487447,94.03796231,94.03796231,92.31243958,92.31243958,95.61622056,95.61622056,94.02288132,94.02288132,94.31008295,94.31008295,94.4688336,94.4688336,95.20706596,95.20706596,95.99918441,95.99918441,93.56672282,93.56672282,95.56445111,95.56445111,95.20806652,95.20806652,95.03134763,95.03134763,94.77256406,94.77256406,93.26734384,93.26734384,94.99567979,94.48725814,0.926456108
